batch;experiment_id;optuna_study_id;dataset_name;model_name;method_name;num_results;avg_test_acc_fold;std_test_acc_fold;std_err_test_acc_fold;sq_std_err;best_avg_val_acc_fold;avg_acc_diff_fold;best_avg_val_acc_epoch_fold;best_avg_train_loss_fold;best_avg_train_loss_epoch_fold;fold;required_folds;num_completed_trials_fold;best_trial_number
eta;6;35;IMDB-BINARY;GCN;if_mixup;3;0.693333328;0.014433743;0.008333325;6.94443E-05;0.762499988;-0.06916666;750;0.614402711;560;4;5;20;3
eta;7;27;ENZYMES;GCN;emb_mixup;3;0.747222225;0.012729365;0.007349302;5.40122E-05;0.708333313;0.038888911;630;0.65461272;770;0;5;20;10
eta;7;34;ENZYMES;GCN;emb_mixup;3;0.686111093;0.031549495;0.018215109;0.00033179;0.729166687;-0.043055594;180;0.296134263;360;1;5;20;4
eta;7;39;ENZYMES;GCN;emb_mixup;3;0.713888884;0.025458762;0.014698623;0.00021605;0.770833313;-0.05694443;750;1.032417774;860;2;5;20;11
eta;7;43;ENZYMES;GCN;emb_mixup;3;0.747222225;0.0173472;0.010015411;0.000100308;0.822916687;-0.075694462;160;0.360645175;320;3;5;20;13
eta;7;47;ENZYMES;GCN;emb_mixup;3;0.649999996;0.014433777;0.008333345;6.94446E-05;0.71875;-0.068750004;430;0.496494889;580;4;5;20;8
eta;8;31;ENZYMES;GCN;geomix;3;0.76111112;0.033678761;0.019444442;0.000378086;0.739583313;0.021527807;370;0.349114031;430;0;5;20;13
eta;8;36;ENZYMES;GCN;geomix;3;0.727777799;0.004811248;0.002777775;7.71603E-06;0.760416687;-0.032638888;430;0.424726933;590;1;5;20;0
eta;8;40;ENZYMES;GCN;geomix;3;0.76111112;0.037577076;0.021695135;0.000470679;0.760416687;0.000694434;620;0.731756687;800;2;5;20;0
eta;8;44;ENZYMES;GCN;geomix;3;0.772222221;0.017347234;0.01001543;0.000100309;0.802083313;-0.029861093;300;0.211741403;460;3;5;20;4
eta;8;48;ENZYMES;GCN;geomix;3;0.677777787;0.0173472;0.010015411;0.000100308;0.708333313;-0.030555526;320;0.450285703;480;4;5;20;2
eta;9;32;ENZYMES;GCN;if_mixup;3;0.747222225;0.0173472;0.010015411;0.000100308;0.729166687;0.018055538;460;0.347546875;640;0;5;20;0
eta;9;38;ENZYMES;GCN;if_mixup;3;0.708333333;0.022047929;0.012729378;0.000162037;0.770833313;-0.06249998;490;0.601049244;690;1;5;20;17
